id,name,lat,lon,rest_count
1673,Onze-Lieve-Vrouw-Geboortekerk,51.1276911000,4.4959466650,57
148,Onze-Lieve-Vrouw Onbevlekt Ontvangen,51.3054201400,4.4352765830,56
504,Sint-Rochuskerk,51.1143118900,4.1248889120,56
533,Heilig Hartkerk,50.7609832800,4.2001985480,56
668,Sint-Jozef en Sint-Franciscuskerk,50.7194593000,4.2584316080,56
683,0,50.7372860100,4.2379551530,56
705,Sint-Martinusbasiliek,50.7367874600,4.2374137900,56
831,Sint-Rochuskerk,50.7312263900,4.2439275080,56
1363,Sint-Jozefkapel,51.3091252400,4.4217460370,56
1499,Emmaüskerk,50.7424077200,4.2299551520,56
1588,Sacramentinen van Halle,50.7419517300,4.2302265260,56
1891,Sint-Guibertuskerk,51.2316977800,4.5832728490,56
1892,Sint-Catharinakerk,51.2629458200,4.5543095910,56
1893,0,51.2487806500,4.5744639900,56
1896,Zorgcentrum Sint-Lodewijk,51.2634767000,4.5569359560,56
2325,Onze-Lieve-Vrouw-ten-Hemel-Opgenomenkerk,51.2332857500,4.5552230290,56
2415,Onze-Lieve-Vrouw van Fatimakerk,51.3085059500,4.4180627360,56
2477,Residentie 't Convent,50.7355762000,4.2345687390,56
263,Onze-Lieve-Vrouwekerk,51.1062829200,4.0859643300,55
322,Sint-Jacobuskerk,51.3164190800,4.4268338620,55
458,Sint-Martinuskerk,50.7726035900,4.5381562280,55
803,Sint-Maria Magdalenakerk,50.7988623100,4.5488862820,55
1037,Sint-Antoniuskapel,51.0956525700,4.0888403980,55
1082,0,51.1085445400,4.0848515300,55
1116,Heidekapel,51.1224035000,4.0987910300,55
1524,Sint-Jozefkerk,51.3158765400,4.4608723140,55
1590,Maria Moeder van de Kerk,50.9482410500,5.5018611730,55
1599,Christus Koningkerk,51.0002180000,5.5300121140,55
1641,0,50.7707422100,4.5036596790,55
1664,Onze-Lieve-Vrouwekerk,50.9517419600,4.3655880260,55
1666,Abdij Roosenberg,51.1192856900,4.0785020810,55
1711,0,50.9873292200,5.4918863150,55
1721,Onze-Lieve-Vrouwekerk,50.8307949400,4.7272296980,55
1765,Onze-Lieve-Vrouw van de Rozenkranskerk,50.9613137200,5.4860177650,55
1823,Oekraïens-Katholieke kerk,50.9996243000,5.5186379680,55
1944,Onze-Lieve-Vrouw-Hemelvaartkerk,50.9609079300,4.0345254060,55
2030,0,50.7767694800,4.5249199800,55
2105,Onze-Lieve-Vrouw Hemelvaartkerk,50.9877262200,5.5379598040,55
2209,Sint-Jan Baptist de la Sallekerk,50.9712208500,5.4484999980,55
2213,0,50.9530780800,5.4215928220,55
2474,Onze-Lieve-Vrouwekerk,50.7933531000,4.4827688680,55
2475,Sint-Judocuskerk,50.7486689100,4.5187232010,55
58,Sint-Eventius,50.9749872500,5.4694200980,54
60,Sint-Gertrudiskerk,50.9442336800,5.3062405020,54
123,Evangelische Christengemeente Zwartberg,51.0087202900,5.5029084580,54
206,Sint-Jozefkerk,50.9339469700,5.5219821990,54
207,Heilig-Hartkerk,50.9725050700,5.4824510450,54
