name,avg_pr,lat,lon
New Maan Pizza & Wok & Burger,11.0,50.8034185600,4.6135957890
NewWay Leuven,11.6,50.8512546400,4.6601775720
Nino Grill,9.5625,50.7881396200,3.9492877100
Nisa Pita & Kebab,9.5,51.1592430600,4.3933564210
Njam Njam Pizza,10.0,51.0413929100,3.3569503480
Noor Pizza,8.333333333333334,50.7401052200,3.1523589770
Noumidia Resto,9.25,51.2871757200,4.7814686620
Number One Snack,12.4,50.8605447000,5.1347374220
Nur Kebab,14.25,50.7401861000,5.3956804470
O Saveurs,8.0,50.8414296400,4.2141897290
O'Couscous,9.5,50.7291186000,4.1980539020
Oba Grillhuis,13.166666666666666,51.0483846600,5.1050438960
Oklava,11.083333333333334,51.0853972100,5.2274719570
Only Kebab,9.05,51.1771979000,4.3796201390
Orient,13.5,50.8830146100,5.2507772690
Orient Diest,11.4,50.9069830600,4.9376196980
Orient KURINGEN,12.166666666666666,50.8983530500,5.2307765150
Orient Lanaken,10.277777777777779,50.8384399700,5.6065974130
Orient Overpelt,14.5,51.1930639100,5.3826723940
Orontes,11.333333333333334,50.8983530500,5.2403713610
Osman Kebab Pizzeria,12.0,50.7040301900,5.0185051140
Ottoman Eethuis,12.857142857142858,50.8273068800,5.3956804470
Ottoman Pizza & BBQ,11.833333333333334,51.0012448100,3.6066445610
Pacha Kebab,9.075000000000001,50.7462731900,4.1980539020
Pain d'Or,9.0,50.8830146100,5.2732427520
Pakistan Royal Food,10.0,51.2008706800,2.8584797940
Pala's Food,9.2,50.8740307100,4.1574439120
Palmira Restaurant,10.0,51.1771979000,4.3796201390
Panini & Grill,10.285714285714286,50.9781318400,5.1732784310
Papi's pizza,13.150000000000002,50.8849924500,4.0615340600
Pasa,15.0,50.9658706100,5.1375814260
Pasa Snack,10.5,51.0767991000,4.8379587230
Pasta Pitta Derik,11.375,50.8716850500,3.9547939310
Payitaht,10.333333333333334,51.0393846100,5.1732784310
Petit palais,9.5,50.8694805700,4.4301460070
Pim's Burger,8.75,50.7791684400,4.1980539020
Pinocchio,11.142857142857142,51.2253356700,4.4098801350
Pita & Pizza Ela,9.5,50.8025464500,3.0974145570
Pita 't Krokantje,9.1,51.1445140900,4.0703979540
Pita Antalya,8.5,50.9204814900,3.2110244400
Pita Babylon,11.25,50.8927547400,3.0974145570
Pita Ephesus,11.25,50.7401861000,5.4076719560
Pita Express,7.6875,51.1377642300,4.3365531740
Pita Huis Blauwwater,11.5,51.1532548200,4.3382795840
Pita Muradim,10.583333333333334,51.1532548200,4.3264688940
Pita Piramide,12.0,50.8716850500,3.8894093370
Pita Pizza Pasta Ararat,10.0,50.9029036800,4.3655880260
Pita Pizza Pyramide,8.954166666666667,51.0262407600,3.3248367400
Pita Planet,8.4375,51.0956525700,4.0420810430
Pita Pyramide,12.0,50.7708973100,3.5099201880
Pita Sofra,12.083333333333334,51.1445140900,4.0703979540
Pita Vogelmarkt,14.7,51.1532548200,4.3382795840
Pita Vrede,10.75,50.8893795400,3.8894093370
Pita4you,12.0,51.1012011600,3.6165917800
Pitaverne,9.875,51.1592430600,4.4436595890
Pitaverne Wilrijk,13.5,51.1336220000,4.3365531740
Pitawan,14.9,50.9616464700,4.3881106660
