id,name,lat,lon,rest_count
1366,Onze-Lieve-Vrouw-ten-Traankerk,51.07398656,4.294585338,1
1362,Sint-Leonarduskerk,50.9133815,2.828274349,1
1343,Onze-Lieve-Vrouw-in-de-Wijngaardkerk,51.07026529,4.986649559,1
1340,Sint-Jozefkerk,50.98564857,4.955402459,1
1339,Heilige Naam Jezuskerk,51.01317216,4.710550212,1
1338,Sint-Pieterskerk,50.94402168,4.973819908,1
1328,Sint-Mattheuskerk,51.07491602,4.791178243,1
1324,Sint-Quirinuskerk,50.92373116,4.967465361,1
1305,Onze-Lieve-Vrouwekerk,50.80007925,2.799405378,1
1301,Sint-Paulus Bekeringskerk,50.91348461,2.919255548,1
1299,Sint-Juliaankerk,50.89023319,2.937619448,1
1295,Sint-Jan Baptistkerk,50.81968104,2.832802265,1
1286,Sint-Blasiuskerk,51.11174282,3.2216257,1
1280,Sint-Martinuskerk,51.30138042,4.691564384,1
1279,Sint-Willibrorduskerk,51.34227446,4.60482014,1
1277,Sint-Michielskerk,51.2888312,4.176278695,1
1223,Sint-Catharinakerk,50.86285561,5.573956521,1
1217,Sint-Niklaaskerk,50.97436031,4.893720654,1
1215,Sint-Maartenskerk,50.83836651,4.924024624,1
1211,0,50.79961117,4.926345292,1
1207,Onze-Lieve-Vrouwkerk,50.87272572,5.126304618,1
1186,Heilige Maria Magdalenakerk,50.77790529,5.080251318,1
1185,Sint-Stefanuskerk,50.73740978,5.281319751,1
1184,Sint-Pieterskerk,50.79353718,5.400410003,1
1180,Sint-Rochuskerk,50.84243911,5.306346079,1
1178,Sint-Pieterskerk,50.85861659,5.389770701,1
1177,Sint-Alfonskerk,50.78546903,5.38061091,1
1164,Sint-Pantaleon-kerk,50.81638169,5.362909438,1
1157,Onze-Lieve-Vrouw Ten Hemelopnemingskerk,50.76304516,5.305538139,1
1155,Sint-Pietersbandenkerk,50.85086356,5.419305624,1
1152,Onze-Lieve-Vrouwekerk,50.9405483,3.059790405,1
1142,Sint-Martinuskerk,50.75545626,5.301850947,1
1141,Sint-Lambertuskerk,50.73698849,5.293912346,1
1134,Sint-Amorkerk,50.90966238,5.05733081,1
1118,0,51.26254483,4.112937883,1
1109,Sint-Baafskerk,51.14093676,4.840442842,1
1090,Sint-Germanuskerk,50.89558326,5.012194405,1
1071,Sint-Annakerk,50.74093746,5.260371903,1
1069,Heilige Kruisverheffingkerk Jesseren,50.8060063,5.390905827,1
1068,Sint-Eustachiuskerk,51.00142971,4.984755787,1
1057,Sint-Pieterskerk,50.7464617,5.233618849,1
1037,Sint-Antoniuskapel,51.09565257,4.088840398,1
1029,Sint-Michielskerk,50.99607061,4.937619698,1
1023,0,50.75982052,3.881802504,1
1021,Sint-Lambertuskerk,50.78483447,3.797911856,1
1015,Sint-Adrianuskerk,51.39169296,5.016244035,1
1002,Sint-Jozefskerk,50.77447094,3.776110294,1
999,Viso Cor Mariae,50.80085512,3.762754719,1
998,Sint-Maria-Magdalenakerk,50.82110523,3.847216125,1
994,0,51.15622805,2.970289794,1
978,Kruiskapel,51.15972795,3.978894347,1
977,WZC Sint-Vincentius,51.13509885,3.862758457,1
976,0,51.10236023,4.001030552,1
972,0,51.09456435,4.076164597,1
967,Kapel Heilige Antonius van Padua,51.17108145,3.91948174,1
965,Klooster van Maria Reparatrix,51.15698723,4.040361181,1
962,Kapel Onze Lieve Vrouw van Banneux,51.11004655,5.69424192,1
961,Sint-Catharinakerk,51.09504867,5.794383445,1
960,Kapel 18,51.18458459,5.572768326,1
957,Priorij Klaarland,51.20483577,5.578802067,1
956,Onze-Lieve-Vrouw van Lourdes,51.16813948,5.738106236,1
951,0,51.13194659,5.810715534,1
946,Daalkapel Onze-Lieve-Vrouw Moeder van Smarten,51.17862507,5.737226157,1
941,0,51.25489079,5.552776517,1
937,Kruisherenkerk,51.09535748,5.789448757,1
936,Sint-Harlindis en Relindiskapel,51.10108472,5.80491546,1
935,Sint-Antoniuskapel,51.11481697,5.658867482,1
930,Sint-Jozef Werkman,51.11302313,5.773776515,1
926,Onze-Lieve-Vrouwkerk,50.95186959,5.014328159,1
925,Allerheiligenkapel,50.98374218,5.048303922,1
924,Sint-Barbarakerk,50.98411488,5.053686017,1
905,Sint-Martinuskerk,51.00226557,3.209364701,1
898,Kapel van Pontfort,51.26142209,5.044554832,1
874,Sint-Pieterskapel,51.26412906,5.076243265,1
868,Sint-Niklaaskerk,51.08742915,4.873044964,1
864,Sint-Bartholomeuskerk,50.91645995,5.004291699,1
862,Sint Petrus en Pauluskerk,50.80084842,4.953407777,1
859,Sint-Andreaskerk,50.93481171,5.070404838,1
855,Sint-Martinuskerk,50.90514648,3.69834173,1
852,Onze-Lieve-Vrouwkerk,51.12526331,3.980148908,1
851,Toepkapel,50.80018468,3.77667836,1
839,Sint-Jozefkerk,51.107643,5.695755737,1
838,Onze-Lieve-Vrouw en Sint-Petruskerk,51.13299316,3.862188711,1
836,Sint-Martinuskerk,50.97862879,3.197990412,1
834,Sint-Lambertuskerk,51.04155548,3.44422067,1
833,Sint-Gertrudiskerk,51.07684666,5.795297327,1
826,Onze-Lieve-Vrouw van Fatimakerk,50.84854007,3.858157254,1
818,Onze-Lieve-Vrouw-Tenhemelopnemingskerk,51.15757525,2.967786809,1
806,Hoevekerk,51.02094128,4.949868706,1
798,Onze-Lieve-Vrouw-Hemelvaartkerk,51.25636062,4.089706036,1
793,0,50.89224226,3.885852201,1
792,Vredeskapel,50.88015356,3.734645176,1
791,Heilig Hartkapel,51.09814113,3.988288791,1
786,Sint-Andreaskerk,50.9055913,3.71654975,1
782,Sint-Eligiuskerk,51.10715637,3.900057814,1
781,Goddelijke Zaligmakerkerk,50.79439842,4.981548224,1
778,Sint-Blasiuskerk,51.18258869,3.093602169,1
775,Sint-Martinuskerk,50.87259893,3.915804217,1
774,Sint-Denijskerk,50.86568785,3.711839804,1
772,0,50.77377507,4.062490657,1
768,Sint-Jozefkerk,51.06718031,4.074086044,1
762,Allerheiligenkerk,50.88598484,3.685536349,1
756,Sint Martinuskerk,50.91308652,3.652426115,1
743,Sint-Trudokerk,50.97301104,5.072019881,1
740,Sint-Quirinuskerk,50.72854458,5.253913448,1
734,Sint-Lambertuskerk,50.97969677,5.104185341,1
730,Kapel van de Heilige Stede,50.73835689,3.916912551,1
727,Heilig-Hartkerk,51.0853912,4.056427301,1
726,Sint-Martinuskerk,51.14462991,5.7403581,1
716,Sint-Servatiuskerk,50.79376726,5.361965496,1
