id,name,lat,lon,rest_count
676,Sint-Bartholomeuskerk,51.2415758,4.440458077,540
2178,Xaveriuskerk,51.21317806,4.451508368,520
927,Sint-Pauluskerk,51.22239157,4.460576221,492
1947,Kapel Sint-Jozef,51.0511517,3.714697138,492
1972,Ziekenhuis Toevlucht van Maria Middelares,51.04778486,3.712951356,489
2402,Sint-Barbaracollege,51.04895844,3.724352196,487
38,Saint Michaels Church,51.05350319,3.719796213,486
368,Saint Nicholas Church,51.05396769,3.722955552,484
341,Saint Bavo Cathedral,51.05299579,3.727199683,483
1968,LUCA campus Sint-Lucas Architectuur,51.05409881,3.713911614,483
1991,0,51.05374402,3.727172395,483
1933,Moederhuis van de zusters der Kindsheid Jesus,51.0542709,3.727749125,482
1980,0,51.04418233,3.724083951,482
2396,Stadsmuseum Gent,51.04404736,3.716968387,482
298,Saint James Church,51.05654622,3.727652208,480
1926,0,51.04308545,3.719740433,480
2397,Baudelokapel,51.0575934,3.728688709,479
1975,Onze-Lieve-Vrouw Sint-Pieterskerk,51.04243255,3.727416366,478
2403,0,51.05354518,3.711897535,478
2406,Kerk Paters Karmelieten,51.057038,3.716592937,477
1923,Sint-Annakerk,51.048799,3.735018042,476
2384,Onze-Lieve-Vrouw ter Hoyekerk,51.04595746,3.736327066,475
1964,Klooster van de arme klaren-coletinnen,51.05737184,3.714557373,474
1978,Nieuwen Bosch,51.04812378,3.736176236,474
2411,Sint-Godelievekapel,51.04594117,3.736924846,474
1976,St Stephens Church,51.05924803,3.720392202,472
1986,Leeuwenhok,51.0580912,3.71604148,472
2398,0,51.05773123,3.714559698,472
498,Sint-Machariuskerk,51.05434334,3.736487482,471
1936,Sint-Elisabethkerk,51.05701648,3.712307742,469
2410,0,51.04597408,3.739833258,466
2399,Cultuurkapel Sint-Vincent,51.05997387,3.717110695,464
182,Sint-Martinuskerk,51.05036483,3.703443208,462
1932,Regenboogkerk,51.04803865,3.742356097,462
763,Heilig-Sacramentskerk,51.19471969,4.442751806,461
1715,Heilige Sacramentskerk,51.24824216,4.432862357,454
1943,Sint-Pauluskerk,51.03924306,3.713173909,454
764,0,51.23020077,4.448404148,453
526,Onze-Lieve-Vrouw van het Heilig Hartkerk,51.20983038,4.452842367,447
1935,0,51.04247782,3.74505935,446
2162,Christus Koningkerk,51.18712064,4.391469427,444
264,Onze-Lieve-Vrouw Middelares en Sint-Lodewijk,51.18668616,4.426231615,441
282,Sint-Jan-Baptistkerk,51.05887434,3.703699707,441
1650,Onze-Lieve-Vrouw van Altijddurende Bijstandkerk,51.23022224,4.459647158,441
2407,Psychiatrisch Ziekenhuis Sint-Jan de Deo,51.06266289,3.723753562,441
592,0,51.04471615,3.698152652,437
248,Onze-Lieve-Vrouw-Boodschapkerk,51.25102874,4.421159483,436
2404,Kapel Sint-Antonius van Padua,51.05671939,3.746635045,429
1938,Sint-Lievenskerk,51.03723565,3.742854307,427
1949,Sint-Salvatorkerk,51.06381702,3.729788626,426
423,Begijnhofkerk Sint-Elisabeth,51.0569538,3.747730529,424
1940,Sint-Coletakerk,51.034317,3.726666633,422
336,Sint-Jozefskerk,51.0629447,3.710605171,420
2421,Heilig Hartkerk,51.05402209,3.749637561,420
2182,De Verrezen Heer,51.18829291,4.435374035,417
1985,Blaisantkerk,51.06637863,3.72175098,405
1993,Clemenspoort,51.03366073,3.706429483,393
