name,avg_pr,lat,lon
Pittaland Erembodegem,13.0,50.90092786,4.035131464
Pizza - Pasta - Pita Mazador,9.45,51.19273603,4.381006634
Pizza Aurelia Restaurant,9.38888888888889,51.02113174,3.659920773
Pizza Boxx Antwerpen,10.5,51.17930938,4.367757718
Pizza Florence,8.9,51.09116382,4.38759313
Pizza Hot,8.5,51.03366073,3.675787564
Pizza Masters ,8.5,51.146897,5.078527329
Pizza Meet Point,12.0,51.03185914,4.411548364
Pizza Monza,9.9,51.17521309,4.451564824
Pizza Napoli Kontich,8.858333333333334,51.10570354,4.427607214
Pizza Pasta Nr 1 - City,10.5,51.17930938,4.379620139
Pizza Pisa,10.666666666666668,51.02959274,3.675787564
Pizza Pitta Flora,10.24375,50.97951979,3.698632455
Pizza Posto,7.5,50.86051822,4.691153855
Pizza Punto,7.8,50.78826492,4.717864033
Pizza Roma,10.066666666666666,51.01271115,4.44381241
Pizza Sam,13.25,51.27470922,3.131505161
Pizza Sole Mio,10.9,50.85925787,4.662897925
Pizza Trenti Schoten,12.5,51.2226294,4.444785071
Pizza Vali,8.88888888888889,51.20431307,4.47787872
Pizza king,10.666666666666668,51.03366073,3.675787564
Pizza@Home,10.95,51.24531329,4.409880135
Pizza@Home - Sint-Niklaas,10.95,51.14451409,4.085180697
Pizzalijn Berchem,8.9,51.17485842,4.391469427
Pizzalijn Merksem,8.5,51.20983038,4.401294395
Pizzeria Amore,4.5,50.81586558,3.245685123
Pizzeria De Avondstar ,10.5,51.18438226,2.955387495
Pizzeria Fullmoon,8.5,51.03366073,3.675787564
Pizzeria Lina,9.666666666666666,51.16857592,4.350791716
Pizzeria Milano,10.5,51.20550302,3.131505161
Pizzeria steakhouse Amsterdam,7.323333333333334,51.16656593,4.350791716
Pokerfriet,9.857142857142856,50.96569534,4.753546597
Post'a Kebab,9.25,50.83931045,4.157443912
Pyramide grillroom pizza pita pasta,7.0,51.19310419,4.448404148
Qbap Ghent,11.9,51.02302294,3.692138247
